Cat,Single measure core date,reviewed,Modality,no,Item,Description,ItemType,Required,Values,AMP_PD_item,conversion,Comment
2,0,,MDS-UPDRS Part I,10,code_upd2107_pat_quest_sleep_problems,1.07 MDS-UPDRS - Sleep Problems (UPD2107),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2107_pat_quest_sleep_problems,identical,
2,0,,MDS-UPDRS Part I,11,code_upd2108_pat_quest_daytime_sleepiness,1.08 MDS-UPDRS - Daytime Sleepiness (UPD2108),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2108_pat_quest_daytime_sleepiness,identical,
2,0,,MDS-UPDRS Part I,12,code_upd2109_pat_quest_pain_and_other_sensations,1.09 MDS-UPDRS - Pain And Other Sensations (UPD2109),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2109_pat_quest_pain_and_other_sensations,identical,
2,0,,MDS-UPDRS Part I,13,code_upd2110_pat_quest_urinary_problems,1.10 MDS-UPDRS - Urinary Problems (UPD2110),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2110_pat_quest_urinary_problems,identical,
2,0,,MDS-UPDRS Part I,14,code_upd2111_pat_quest_constipation_problems,1.11 MDS-UPDRS - Constipation Problems (UPD2111),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2111_pat_quest_constipation_problems,identical,
2,0,,MDS-UPDRS Part I,15,code_upd2112_pat_quest_lightheadedness_on_standing,1.12 MDS-UPDRS - Lightheadedness on Standing (UPD2112),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2112_pat_quest_lightheadedness_on_standing,identical,
2,0,,MDS-UPDRS Part I,16,code_upd2113_pat_quest_fatigue,1.13 MDS-UPDRS - Fatigue (UPD2113),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2113_pat_quest_fatigue,identical,
2,0,,MDS-UPDRS Part I,17,mds_updrs_part_i_pat_quest_sub_score,MDS-UPDRS Part I Patient Questionnaire Questions 7-13 Summary  Sub-Score,integer,nullable,(y>=0) & (y<=28),mds_updrs_part_i_pat_quest_sub_score,identical,
2,0,,MDS-UPDRS Part I,18,mds_updrs_part_i_summary_score,MDS-UPDRS Part I Summary Score,integer,nullable,(y>=0) & (y<=52),mds_updrs_part_i_summary_score,identical,
2,0,,MDS-UPDRS Part II,1,mds_updrs_part_ii_primary_info_source,MDS-UPDRS Part II Primary Source Of Information,string,nullable,,mds_updrs_part_ii_primary_info_source,identical,
2,0,,MDS-UPDRS Part II,2,code_upd2201_speech,2.01 MDS-UPDRS - Speech (UPD2201),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2201_speech,identical,
2,0,,MDS-UPDRS Part II,3,code_upd2202_saliva_and_drooling,2.02 MDS-UPDRS - Saliva And Drooling (UPD2202),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2202_saliva_and_drooling,identical,
2,0,,MDS-UPDRS Part II,4,code_upd2203_chewing_and_swallowing,2.03 MDS-UPDRS - Chewing And Swallowing (UPD2203),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2203_chewing_and_swallowing,identical,
2,0,,MDS-UPDRS Part II,5,code_upd2204_eating_tasks,2.04 MDS-UPDRS - Eating Tasks (UPD2204),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2204_eating_tasks,identical,
2,0,,MDS-UPDRS Part II,6,code_upd2205_dressing,2.05 MDS-UPDRS - Dressing (UPD2205),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2205_dressing,identical,
2,0,,MDS-UPDRS Part II,7,code_upd2206_hygiene,2.06 MDS-UPDRS - Hygiene (UPD2206),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2206_hygiene,identical,
2,0,,MDS-UPDRS Part II,8,code_upd2207_handwriting,2.07 MDS-UPDRS - Handwriting (UPD2207),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2207_handwriting,identical,
2,0,,MDS-UPDRS Part II,9,code_upd2208_doing_hobbies_and_other_activities,2.08 MDS-UPDRS - Doing Hobbies And Other Activities (UPD2208),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2208_doing_hobbies_and_other_activities,identical,
2,0,,MDS-UPDRS Part II,10,code_upd2209_turning_in_bed,2.09 MDS-UPDRS - Turning In Bed (UPD2209),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2209_turning_in_bed,identical,
2,0,,MDS-UPDRS Part II,11,code_upd2210_tremor,2.10 MDS-UPDRS - Tremor (UPD2210),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2210_tremor,identical,
2,0,,MDS-UPDRS Part II,12,code_upd2211_get_out_of_bed_car_or_deep_chair,"2.11 MDS-UPDRS - Get Out Of Bed, Car, Or Deep Chair (UPD2211)",integer,nullable,"y.isin([0,1,2,3,4])",code_upd2211_get_out_of_bed_car_or_deep_chair,identical,
2,0,,MDS-UPDRS Part II,13,code_upd2212_walking_and_balance,2.12 MDS-UPDRS - Walking And Balance (UPD2212),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2212_walking_and_balance,identical,
2,0,,MDS-UPDRS Part II,14,code_upd2213_freezing,2.13 MDS-UPDRS - Freezing (UPD2213),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2213_freezing,identical,
2,0,,MDS-UPDRS Part II,15,mds_updrs_part_ii_summary_score,MDS-UPDRS Part II Summary Score,integer,nullable,(y>=0) & (y<=52),mds_updrs_part_ii_summary_score,identical,
2,0,,MDS-UPDRS Part III,37,upd23a_medication_for_pd,3a MDS-UPDRS - Medication For Parkinson's Disease (UPD23A),string,nullable,"[""No"", ""Yes""]",upd23a_medication_for_pd,identical,
2,0,,MDS-UPDRS Part III,38,upd23b_clinical_state_on_medication,3b MDS-UPDRS - Clinical State On Medication (UPD23B),string,nullable,"[""ON"", ""OFF"", ""Unknown""]",upd23b_clinical_state_on_medication,identical,
2,0,,MDS-UPDRS Part III,39,upd23c_on_levodopa,3c MDS-UPDRS - Is the patient on levodopa?,string,nullable,"[""No"", ""Yes""]",,,
2,0,,MDS-UPDRS Part III,40,upd23c1_min_since_last_levodopa,"3c1 MDS-UPDRS - If patients on levodopa, minutes since last levodopa dose",numeric,nullable,(y>=0) ,,,
2,0,,MDS-UPDRS Part III,1,code_upd2301_speech_problems,3.01 MDS-UPDRS - Speech Problems (UPD2301),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2301_speech_problems,identical,
2,0,,MDS-UPDRS Part III,2,code_upd2302_facial_expression,3.02 MDS-UPDRS - Facial Expression (UPD2302),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2302_facial_expression,identical,
2,0,,MDS-UPDRS Part III,3,code_upd2303a_rigidity_neck,3.03a MDS-UPDRS - Rigidity Neck (UPD2303A),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2303a_rigidity_neck,identical,
2,0,,MDS-UPDRS Part III,4,code_upd2303b_rigidity_rt_upper_extremity,3.03b MDS-UPDRS - Rigidity Right Upper Extremity (UPD2303B),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2303b_rigidity_rt_upper_extremity,identical,
2,0,,MDS-UPDRS Part III,5,code_upd2303c_rigidity_left_upper_extremity,3.03c MDS-UPDRS - Rigidity Left Upper Extremity (UPD2303C),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2303c_rigidity_left_upper_extremity,identical,
2,0,,MDS-UPDRS Part III,6,code_upd2303d_rigidity_rt_lower_extremity,3.03e MDS-UPDRS - Rigidity Right Lower Extremity (UPD2303D),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2303d_rigidity_rt_lower_extremity,identical,
2,0,,MDS-UPDRS Part III,7,code_upd2303e_rigidity_left_lower_extremity,3.03e MDS-UPDRS - Rigidity Left Lower Extremity (UPD2303E),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2303e_rigidity_left_lower_extremity,identical,
2,0,,MDS-UPDRS Part III,8,code_upd2304a_right_finger_tapping,3.04a MDS-UPDRS - Right Finger Tapping (UPD2304A),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2304a_right_finger_tapping,identical,
2,0,,MDS-UPDRS Part III,9,code_upd2304b_left_finger_tapping,3.04b MDS-UPDRS - Left Finger Tapping (UPD2304B),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2304b_left_finger_tapping,identical,
2,0,,MDS-UPDRS Part III,10,code_upd2305a_right_hand_movements,3.05a MDS-UPDRS - Right Hand Movements (UPD2305A),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2305a_right_hand_movements,identical,
2,0,,MDS-UPDRS Part III,11,code_upd2305b_left_hand_movements,3.05b MDS-UPDRS - Left Hand Movements (UPD2305B),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2305b_left_hand_movements,identical,
2,0,,MDS-UPDRS Part III,12,code_upd2306a_pron_sup_movement_right_hand,3.06a MDS-UPDRS - Pronanation-Supination Movement Of Right Hand (UPD2306A),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2306a_pron_sup_movement_right_hand,identical,
2,0,,MDS-UPDRS Part III,13,code_upd2306b_pron_sup_movement_left_hand,3.06b MDS-UPDRS - Pronanation-Supination Movement Of Left Hand (UPD2306B),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2306b_pron_sup_movement_left_hand,identical,
2,0,,MDS-UPDRS Part III,14,code_upd2307a_right_toe_tapping,3.07a MDS-UPDRS - Right Toe Tapping (UPD2307A),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2307a_right_toe_tapping,identical,
2,0,,MDS-UPDRS Part III,15,code_upd2307b_left_toe_tapping,3.07b MDS-UPDRS - Left Toe Tapping (UPD2307B),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2307b_left_toe_tapping,identical,
2,0,,MDS-UPDRS Part III,16,code_upd2308a_right_leg_agility,3.08a MDS-UPDRS - Right Leg Agility (UPD2308A),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2308a_right_leg_agility,identical,
2,0,,MDS-UPDRS Part III,17,code_upd2308b_left_leg_agility,3.08b MDS-UPDRS - Left Leg Agility (UPD2308B),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2308b_left_leg_agility,identical,
2,0,,MDS-UPDRS Part III,18,code_upd2309_arising_from_chair,3.09 MDS-UPDRS - Arising from Chair (UPD2309),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2309_arising_from_chair,identical,
2,0,,MDS-UPDRS Part III,19,code_upd2310_gait,3.10 MDS-UPDRS - Gait (UPD2310),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2310_gait,identical,
2,0,,MDS-UPDRS Part III,20,code_upd2311_freezing_of_gait,3.11 MDS-UPDRS - Freezing Of Gait (UPD2311),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2311_freezing_of_gait,identical,
2,0,,MDS-UPDRS Part III,21,code_upd2312_postural_stability,3.12 MDS-UPDRS - Postural Stability (UPD2312),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2312_postural_stability,identical,
2,0,,MDS-UPDRS Part III,22,code_upd2313_posture,3.13 MDS-UPDRS - Posture (UPD2313),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2313_posture,identical,
2,0,,MDS-UPDRS Part III,23,code_upd2314_body_bradykinesia,3.14 MDS-UPDRS - Body Bradykinesia (UPD2314),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2314_body_bradykinesia,identical,
2,0,,MDS-UPDRS Part III,24,code_upd2315a_postural_tremor_of_right_hand,3.15a MDS-UPDRS - Postural Tremor Of Right Hand (UPD2315A),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2315a_postural_tremor_of_right_hand,identical,
2,0,,MDS-UPDRS Part III,25,code_upd2315b_postural_tremor_of_left_hand,3.15b MDS-UPDRS - Postural Tremor Of Left Hand (UPD2315B),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2315b_postural_tremor_of_left_hand,identical,
2,0,,MDS-UPDRS Part III,26,code_upd2316a_kinetic_tremor_of_right_hand,3.16a MDS-UPDRS - Kinetic Tremor Of Right Hand (UPD2316A),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2316a_kinetic_tremor_of_right_hand,identical,
2,0,,MDS-UPDRS Part III,27,code_upd2316b_kinetic_tremor_of_left_hand,3.16b MDS-UPDRS - Kinetic Tremor Of Left Hand (UPD2316B),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2316b_kinetic_tremor_of_left_hand,identical,
2,0,,MDS-UPDRS Part III,28,code_upd2317a_rest_tremor_amplitude_right_upper_extremity,3.17a MDS-UPDRS - Rest Tremor Amplitude Right Upper Extremity (UPD2317A),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2317a_rest_tremor_amplitude_right_upper_extremity,identical,
2,0,,MDS-UPDRS Part III,29,code_upd2317b_rest_tremor_amplitude_left_upper_extremity,3.17b MDS-UPDRS - Rest Tremor Amplitude Left Upper Extremity (UPD2317B),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2317b_rest_tremor_amplitude_left_upper_extremity,identical,
2,0,,MDS-UPDRS Part III,30,code_upd2317c_rest_tremor_amplitude_right_lower_extremity,3.17c MDS-UPDRS - Rest Tremor Amplitude Right Lower Extremity (UPD2317C),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2317c_rest_tremor_amplitude_right_lower_extremity,identical,
2,0,,MDS-UPDRS Part III,31,code_upd2317d_rest_tremor_amplitude_left_lower_extremity,3.17d MDS-UPDRS - Rest Tremor Amplitude Left Lower Extremity (UPD2317D),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2317d_rest_tremor_amplitude_left_lower_extremity,identical,
2,0,,MDS-UPDRS Part III,32,code_upd2317e_rest_tremor_amplitude_lip_or_jaw,3.17e MDS-UPDRS - Rest Tremor Amplitude Lip Or Jaw (UPD2317E),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2317e_rest_tremor_amplitude_lip_or_jaw,identical,
2,0,,MDS-UPDRS Part III,33,code_upd2318_consistency_of_rest_tremor,3.18 MDS-UPDRS - Consistency Of Rest Tremor (UPD2318),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2318_consistency_of_rest_tremor,identical,
2,0,,MDS-UPDRS Part III,34,upd2da_dyskinesias_during_exam,3.19 MDS-UPDRS - Dyskinesias During Exam (UPD2DA),string,nullable,"[""No"", ""Yes""]",upd2da_dyskinesias_during_exam,identical,
2,0,,MDS-UPDRS Part III,35,upd2db_movements_interfere_with_ratings,3.20 MDS-UPDRS - Movements Interfere with Ratings (UPD2DB),string,nullable,"[""No"", ""Yes""]",upd2db_movements_interfere_with_ratings,identical,
2,0,,MDS-UPDRS Part III,41,mds_updrs_part_iii_summary_score,MDS-UPDRS Part III Summary Score,integer,nullable,(y>=0) & (y<=132),mds_updrs_part_iii_summary_score,identical,
2,0,,MDS-UPDRS Part IV,1,code_upd2401_time_spent_with_dyskinesias,4.01 MDS-UPDRS - Time Spent With Dyskinesias (UPD2401),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2401_time_spent_with_dyskinesias,identical,
2,0,,MDS-UPDRS Part IV,2,code_upd2402_functional_impact_of_dyskinesias,4.02 MDS-UPDRS - Functional Impact Of Dyskinesias (UPD2402),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2402_functional_impact_of_dyskinesias,identical,
2,0,,MDS-UPDRS Part IV,3,code_upd2403_time_spent_in_the_off_state,4.03 MDS-UPDRS - Time Spent In The Off State (UPD2403),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2403_time_spent_in_the_off_state,identical,
2,0,,MDS-UPDRS Part IV,4,code_upd2404_functional_impact_of_fluctuations,4.04 MDS-UPDRS - Functional Impact Of Fluctuations (UPD2404),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2404_functional_impact_of_fluctuations,identical,
2,0,,MDS-UPDRS Part IV,5,code_upd2405_complexity_of_motor_fluctuations,4.05 MDS-UPDRS - Complexity Of Motor Fluctuations (UPD2405),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2405_complexity_of_motor_fluctuations,identical,
2,0,,MDS-UPDRS Part IV,6,code_upd2406_painful_off_state_dystonia,4.06 MDS-UPDRS - Painful Off-State Dystonia (UPD2406),integer,nullable,"y.isin([0,1,2,3,4])",code_upd2406_painful_off_state_dystonia,identical,
2,0,,MDS-UPDRS Part IV,7,mds_updrs_part_iv_summary_score,MDS-UPDRS Part IV Summary Score,integer,nullable,(y>=0) & (y<=24),mds_updrs_part_iv_summary_score,identical,
2,0,,MDS-UPDRS Part IV,8,upd2406_1_total_hours_off,4.06.1 MDS-UPDRS - Total Hours OFF,numeric,nullable,(y>=0) & (y<=1440),,,
2,0,,MDS-UPDRS Part IV,9,upd2406_2_off_hours_wo_dystonia,4.06.2 MDS-UPDRS - Total OFF Hours with Dystonia,numeric,nullable,(y>=0) & (y<=1440),,,
2,0,,MDS-UPDRS Part IV,10,upd2406_3_pct_off_dystonia,4.06.3 MDS-UPDRS - % OFF Dystonia = ((2/1)*100),numeric,nullable,(y>=0) & (y<=100),,,
2,0,,MoCA,1,moca01_alternating_trail_making,MOCA: 01. Alternating Trail Making,integer,nullable,"y.isin([0,1])",moca01_alternating_trail_making,identical,
2,0,,MoCA,2,moca02_visuoconstr_skills_cube,MOCA: 02. Visuoconstructional Skills - Copy Cube,integer,nullable,"y.isin([0,1])",moca02_visuoconstr_skills_cube,identical,
2,0,,MoCA,3,moca03_visuoconstr_skills_clock_cont,MOCA: 03. Visuoconstructional Skills - Draw Clock Contour,integer,nullable,"y.isin([0,1])",moca03_visuoconstr_skills_clock_cont,identical,
2,0,,MoCA,4,moca04_visuoconstr_skills_clock_num,MOCA: 04. Visuoconstructional Skills - Draw Clock Numbers,integer,nullable,"y.isin([0,1])",moca04_visuoconstr_skills_clock_num,identical,
2,0,,MoCA,5,moca05_visuoconstr_skills_clock_hands,MOCA: 05. Visuoconstructional Skills - Draw Clock Hands,integer,nullable,"y.isin([0,1])",moca05_visuoconstr_skills_clock_hands,identical,
2,0,,MoCA,5,moca05_visuoconstr_skills_clock,MOCA: Draw Clock Total,integer,nullable,"y.isin([0,1,2,3])",,,
2,0,,MoCA,6,moca_visuospatial_executive_subscore,MOCA: Visuospatial And Executive Subscore,integer,nullable,"y.isin([0,1,2,3,4,5])",moca_visuospatial_executive_subscore,identical,
2,0,,MoCA,7,moca06_naming_lion,MOCA: 06. Naming - Lion,integer,nullable,"y.isin([0,1])",moca06_naming_lion,identical,
2,0,,MoCA,8,moca07_naming_rhino,MOCA: 07. Naming - Rhino,integer,nullable,"y.isin([0,1])",moca07_naming_rhino,identical,
2,0,,MoCA,9,moca08_naming_camel,MOCA: 08. Naming - Camel,integer,nullable,"y.isin([0,1])",moca08_naming_camel,identical,
2,0,,MoCA,10,moca_naming_subscore,MOCA: Naming Subscore,integer,nullable,"y.isin([0,1,2,3])",moca_naming_subscore,identical,
2,0,,MoCA,11,moca09_attention_forward_digit_span,MOCA: 09. Attention - Forward Digit Span,integer,nullable,"y.isin([0,1])",moca09_attention_forward_digit_span,identical,
2,0,,MoCA,12,moca10_attention_backward_digit_span,MOCA: 10. Attention - Backward Digit Span,integer,nullable,"y.isin([0,1])",moca10_attention_backward_digit_span,identical,
2,0,,MoCA,13,moca_attention_digits_subscore,MOCA: Attention Forward-Backward Repeat Lists Of Digits Subscore,integer,nullable,"y.isin([0,1,2])",moca_attention_digits_subscore,identical,
2,0,,MoCA,14,moca11_attention_vigilance,MOCA: 11. Attention - Vigilance,integer,nullable,"y.isin([0,1])",moca11_attention_vigilance,identical,
2,0,,MoCA,15,moca12_attention_serial_7s,MOCA: 12. Attention - Serial 7s,integer,nullable,"y.isin([0,1,2,3])",moca12_attention_serial_7s,identical,
2,0,,MoCA,16,moca_attention_subscore,MOCA: Attention domain subscore,integer,nullable,"y.isin([0,1,2,3,4,5,6])",,,
2,0,,MoCA,17,moca13_sentence_repetition,MOCA: 13. Sentence Repetition,integer,nullable,"y.isin([0,1,2])",,,
2,0,,MoCA,18,moca13_sentence_repetition_1,MOCA: 13. Sentence Repetition 1,integer,nullable,"y.isin([0,1])",moca13_sentence_repetition,partial,
2,0,,MoCA,19,moca13_sentence_repetition_2,MOCA: 13. Sentence Repetition 2,integer,nullable,"y.isin([0,1])",moca13_sentence_repetition,partial,
2,0,,MoCA,20,moca14_verbal_fluency_number_of_words,MOCA: 14. Verbal Fluency - Number Of Words,integer,nullable,(y>=0) & (y<=100),moca14_verbal_fluency_number_of_words,identical,
2,0,,MoCA,21,moca15_verbal_fluency,MOCA: 15. Verbal Fluency,integer,nullable,"y.isin([0,1])",moca15_verbal_fluency,identical,
2,0,,MoCA,22,moca_language_subscore,MOCA: Language Subscore,integer,nullable,"y.isin([0,1,2,3])",moca_language_subscore,identical,
2,0,,MoCA,23,moca16_abstraction_1,MOCA: 16. Abstraction 1,integer,nullable,"y.isin([0,1])",moca16_abstraction,partial,
2,0,,MoCA,24,moca16_abstraction_2,MOCA: 16. Abstraction 2,integer,nullable,"y.isin([0,1])",moca16_abstraction,partial,
2,0,,MoCA,25,moca_abstraction_subscore,moca16_abstraction_1 + moca16_abstraction_2,integer,nullable,"y.isin([0,1,2])",moca_abstraction_subscore,identical,
2,0,,MoCA,26,moca17_delayed_recall_face,MOCA: 17. Delayed Recall - Face,integer,nullable,"y.isin([0,1])",moca17_delayed_recall_face,identical,
2,0,,MoCA,27,moca18_delayed_recall_velvet,MOCA: 18. Delayed Recall - Velvet,integer,nullable,"y.isin([0,1])",moca18_delayed_recall_velvet,identical,
2,0,,MoCA,28,moca19_delayed_recall_church,MOCA: 19. Delayed Recall - Church,integer,nullable,"y.isin([0,1])",moca19_delayed_recall_church,identical,
2,0,,MoCA,29,moca20_delayed_recall_daisy,MOCA: 20. Delayed Recall - Daisy,integer,nullable,"y.isin([0,1])",moca20_delayed_recall_daisy,identical,
2,0,,MoCA,30,moca21_delayed_recall_red,MOCA: 21. Delayed Recall - Red,integer,nullable,"y.isin([0,1])",moca21_delayed_recall_red,identical,
2,0,,MoCA,31,moca_delayed_recall_subscore_optnl_cat_cue,MOCA: Delayed Recall Subscore Optional Category Cue,integer,nullable,"y.isin([0,1,2,3,4,5])",moca_delayed_recall_subscore_optnl_cat_cue,identical,
2,0,,MoCA,32,moca_delayed_recall_subscore_optnl_mult_choice,MOCA: Delayed Recall Subscore Optional Multiple Choice Cue,integer,nullable,"y.isin([0,1,2,3,4,5])",moca_delayed_recall_subscore_optnl_mult_choice,identical,
2,0,,MoCA,33,moca_delayed_recall_subscore,MOCA: Delayed Recall Subscore Uncued,integer,nullable,"y.isin([0,1,2,3,4,5])",moca_delayed_recall_subscore,identical,
2,0,,MoCA,34,moca22_orientation_date_score,MOCA: 22. Orientation - Date Score,integer,nullable,"y.isin([0,1])",moca22_orientation_date_score,identical,
2,0,,MoCA,35,moca23_orientation_month_score,MOCA: 23. Orientation - Month Score,integer,nullable,"y.isin([0,1])",moca23_orientation_month_score,identical,
2,0,,MoCA,36,moca24_orientation_year_score,MOCA: 24. Orientation - Year  Score,integer,nullable,"y.isin([0,1])",moca24_orientation_year_score,identical,
2,0,,MoCA,37,moca25_orientation_day_score,MOCA: 25. Orientation - Day Score,integer,nullable,"y.isin([0,1])",moca25_orientation_day_score,identical,
2,0,,MoCA,38,moca26_orientation_place_score,MOCA: 26. Orientation - Place Score,integer,nullable,"y.isin([0,1])",moca26_orientation_place_score,identical,
2,0,,MoCA,39,moca27_orientation_city_score,MOCA: 27. Orientation - City Score,integer,nullable,"y.isin([0,1])",moca27_orientation_city_score,identical,
2,0,,MoCA,40,moca_orientation_subscore,MOCA: Orientation Subscore,integer,nullable,"y.isin([0,1,2,3,4,5,6])",moca_orientation_subscore,identical,
2,0,,MoCA,41,moca_total_score,MOCA Total Score,integer,nullable,(y>=0) & (y<=30),moca_total_score,identical,
2,0,,MoCA,42,moca_total_score_adjusted,MoCA Total Score adjusted for educationo,integer,nullable,(y>=0) & (y<=30),,,
2,0,,SDM,1,sdm_score,Symbol Digit Modalities Test,integer,nullable,(y>=0) & (y<=110),,,
2,0,,SCOPA-AUT,1,scopa_aut01_swallowing,SCOPA-AUT item 1,string,nullable,"['never', 'sometimes', 'regularly', 'often']",,,
2,0,,SCOPA-AUT,2,scopa_aut02_dribbling,SCOPA-AUT item 2,string,nullable,"['never', 'sometimes', 'regularly', 'often']",,,
2,0,,SCOPA-AUT,3,scopa_aut03_food_stuck,SCOPA-AUT item 3,string,nullable,"['never', 'sometimes', 'regularly', 'often']",,,
2,0,,SCOPA-AUT,4,scopa_aut04_stomach_full_quickly,SCOPA-AUT item 4,string,nullable,"['never', 'sometimes', 'regularly', 'often']",,,
2,0,,SCOPA-AUT,5,scopa_aut05_bowel_constipation,SCOPA-AUT item 5,string,nullable,"['never', 'sometimes', 'regularly', 'often']",,,
2,0,,SCOPA-AUT,6,scopa_aut06_bowel_strain_hard,SCOPA-AUT item 6,string,nullable,"['never', 'sometimes', 'regularly', 'often']",,,
2,0,,SCOPA-AUT,7,scopa_aut07_bowel_involuntary_loss,SCOPA-AUT item 7,string,nullable,"['never', 'sometimes', 'regularly', 'often']",,,
2,0,,SCOPA-AUT,8,scopa_aut08_urine_hard_to_retain,SCOPA-AUT item 8,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'use catheter']",,,
2,0,,SCOPA-AUT,9,scopa_aut09_urine_involuntary_loss,SCOPA-AUT item 9,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'use catheter']",,,
2,0,,SCOPA-AUT,10,scopa_aut10_urine_residual,SCOPA-AUT item 10,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'use catheter']",,,
2,0,,SCOPA-AUT,11,scopa_aut11_urine_stream_weak,SCOPA-AUT item 11,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'use catheter']",,,
2,0,,SCOPA-AUT,12,scopa_aut12_urine_pass_less_2hr,SCOPA-AUT item 12,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'use catheter']",,,
2,0,,SCOPA-AUT,13,scopa_aut13_urine_night,SCOPA-AUT item 13,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'use catheter']",,,
2,0,,SCOPA-AUT,14,scopa_aut14_light_head_stand_up,SCOPA-AUT item 14,string,nullable,"['never', 'sometimes', 'regularly', 'often']",,,
2,0,,SCOPA-AUT,15,scopa_aut15_light_head_standing,SCOPA-AUT item 15,string,nullable,"['never', 'sometimes', 'regularly', 'often']",,,
2,0,,SCOPA-AUT,16,scopa_aut16_faint,SCOPA-AUT item 16,string,nullable,"['never', 'sometimes', 'regularly', 'often']",,,
2,0,,SCOPA-AUT,17,scopa_aut17_perspiration_day,SCOPA-AUT item 17,string,nullable,"['never', 'sometimes', 'regularly', 'often']",,,
2,0,,SCOPA-AUT,18,scopa_aut18_perspiration_night,SCOPA-AUT item 18,string,nullable,"['never', 'sometimes', 'regularly', 'often']",,,
2,0,,SCOPA-AUT,19,scopa_aut19_too_bright,SCOPA-AUT item 19,string,nullable,"['never', 'sometimes', 'regularly', 'often']",,,
2,0,,SCOPA-AUT,20,scopa_aut20_too_cold,SCOPA-AUT item 20,string,nullable,"['never', 'sometimes', 'regularly', 'often']",,,
2,0,,SCOPA-AUT,21,scopa_aut21_too_hot,SCOPA-AUT item 21,string,nullable,"['never', 'sometimes', 'regularly', 'often']",,,
2,0,,SCOPA-AUT,22,scopa_aut22_sex_impotent,SCOPA-AUT item 22,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'not applicable']",,,
2,0,,SCOPA-AUT,23,scopa_aut23_sex_unable_ejaculate,SCOPA-AUT item 23,string,nullable,"['never', 'sometimes', 'regularly', 'often', 'not applicable']",,,
2,0,,SCOPA-AUT,24,scopa_aut23a_sex_medication,SCOPA-AUT item 23a,string,nullable,"['no', 'yes', 'unknown']",,,
